rpm\thr,0.1,0.325,0.55,0.775,1
680,95462.1135,546374.1610,714226.5952,731673.5214,734267.4017
1615,25160.1806,961429.6186,1390568.4488,1655885.3593,1704422.1260
2550,29056.8860,824393.6162,1484627.7973,1796549.2315,1888448.8658
3485,33150.9484,726198.6228,1587183.3936,1890415.6550,1982841.4454
4420,36011.6080,109308.9859,1650251.5638,1932833.7813,2027935.7602
5355,38771.8121,116896.2418,1647887.8100,1896958.1661,1973683.0597
6290,42014.7673,121273.8003,1529098.2179,1727888.9532,1780543.6100
7225,45771.8736,123541.8313,1346667.0495,1537543.1791,1570782.9079
8160,50056.1920,124985.0201,1250245.7643,1385762.5293,1405292.2731
